pid,technique,granularity,windows,trialNo,time,accuracy,steps
4,TRADITIONAL,paragraph,Multiple,1,10940,1,4
4,TRADITIONAL,paragraph,Multiple,2,14574,1,6
4,TRADITIONAL,paragraph,Multiple,3,7438,1,6
4,TRADITIONAL,paragraph,Single,1,5040,1,6
4,TRADITIONAL,paragraph,Single,2,5143,1,6
4,TRADITIONAL,paragraph,Single,3,4894,1,6
4,TRADITIONAL,phrase,Multiple,1,9009,1,4
4,TRADITIONAL,phrase,Multiple,2,8901,1,6
4,TRADITIONAL,phrase,Multiple,3,12731,1,6
4,TRADITIONAL,phrase,Single,1,8558,1,4
4,TRADITIONAL,phrase,Single,2,7855,1,4
4,TRADITIONAL,phrase,Single,3,8232,1,4
4,TRADITIONAL,sentence,Multiple,1,9861,1,4
4,TRADITIONAL,sentence,Multiple,2,12670,1,6
4,TRADITIONAL,sentence,Multiple,3,10102,1,6
4,TRADITIONAL,sentence,Single,1,7623,1,4
4,TRADITIONAL,sentence,Single,2,6967,1,4
4,TRADITIONAL,sentence,Single,3,9086,1,4
4,AUTOCOMPASTE,paragraph,Multiple,1,12589,1,10
4,AUTOCOMPASTE,paragraph,Multiple,2,18765,1,16
4,AUTOCOMPASTE,paragraph,Multiple,3,11014,1,11
4,AUTOCOMPASTE,paragraph,Single,1,10638,1,7
4,AUTOCOMPASTE,paragraph,Single,2,10151,1,11
4,AUTOCOMPASTE,paragraph,Single,3,10941,1,11
4,AUTOCOMPASTE,phrase,Multiple,1,29411,1,8
4,AUTOCOMPASTE,phrase,Multiple,2,33546,1,8
4,AUTOCOMPASTE,phrase,Multiple,3,13718,1,6
4,AUTOCOMPASTE,phrase,Single,1,16781,1,6
4,AUTOCOMPASTE,phrase,Single,2,16253,1,8
4,AUTOCOMPASTE,phrase,Single,3,20685,1,12
4,AUTOCOMPASTE,sentence,Multiple,1,7768,1,3
4,AUTOCOMPASTE,sentence,Multiple,2,6870,1,4
4,AUTOCOMPASTE,sentence,Multiple,3,10015,1,3
4,AUTOCOMPASTE,sentence,Single,1,4590,1,3
4,AUTOCOMPASTE,sentence,Single,2,4959,1,3
4,AUTOCOMPASTE,sentence,Single,3,8318,1,5
4,TRADITIONAL,paragraph,Multiple,1,13569,1,10
4,TRADITIONAL,paragraph,Multiple,2,5924,1,6
4,TRADITIONAL,paragraph,Multiple,3,11207,1,6
4,TRADITIONAL,paragraph,Single,1,5054,1,6
4,TRADITIONAL,paragraph,Single,2,4575,1,6
4,TRADITIONAL,paragraph,Single,3,4081,1,6
4,TRADITIONAL,phrase,Multiple,1,11816,1,6
4,TRADITIONAL,phrase,Multiple,2,11795,1,4
4,TRADITIONAL,phrase,Multiple,3,13334,1,7
4,TRADITIONAL,phrase,Single,1,21316,1,6
4,TRADITIONAL,phrase,Single,2,7295,1,6
4,TRADITIONAL,phrase,Single,3,7815,1,4
4,TRADITIONAL,sentence,Multiple,1,8567,1,6
4,TRADITIONAL,sentence,Multiple,2,6041,1,6
4,TRADITIONAL,sentence,Multiple,3,11267,1,4
4,TRADITIONAL,sentence,Single,1,8539,1,4
4,TRADITIONAL,sentence,Single,2,6058,1,4
4,TRADITIONAL,sentence,Single,3,8151,1,4
5,AUTOCOMPASTE,phrase,Single,1,14690,0,5
5,AUTOCOMPASTE,phrase,Single,2,16922,1,8
5,AUTOCOMPASTE,phrase,Single,3,12908,1,35
5,AUTOCOMPASTE,phrase,Multiple,1,18594,1,10
5,AUTOCOMPASTE,phrase,Multiple,2,9982,1,7
5,AUTOCOMPASTE,phrase,Multiple,3,12679,1,7
5,AUTOCOMPASTE,sentence,Single,1,6078,1,2
5,AUTOCOMPASTE,sentence,Single,2,8725,1,2
5,AUTOCOMPASTE,sentence,Single,3,5251,1,2
5,AUTOCOMPASTE,sentence,Multiple,1,5771,1,2
5,AUTOCOMPASTE,sentence,Multiple,2,6781,1,2
5,AUTOCOMPASTE,sentence,Multiple,3,5776,1,1
5,AUTOCOMPASTE,paragraph,Single,1,8120,1,6
5,AUTOCOMPASTE,paragraph,Single,2,12960,1,5
5,AUTOCOMPASTE,paragraph,Single,3,27495,1,7
5,AUTOCOMPASTE,paragraph,Multiple,1,7796,1,3
5,AUTOCOMPASTE,paragraph,Multiple,2,5948,1,3
5,AUTOCOMPASTE,paragraph,Multiple,3,40550,1,29
